,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr,average_train_loss,average_test_loss
111,100,0.341349156901281,0.354034254675966,4,32,ReLU(),0.1,0.01,0.8773742885213757,0.5588747599767507
99,100,0.3398807781908041,0.3322148578977142,4,16,ReLU(),0.1,0.01,0.8767884148970656,0.5749670114751653
102,100,0.3373765607881643,0.3632317560526106,4,16,LeakyReLU(negative_slope=0.01),0.05,0.01,0.8959019929288853,0.5943858123253514
114,100,0.3302330066019018,0.3687718027877825,4,32,LeakyReLU(negative_slope=0.01),0.05,0.01,0.8714111812917206,0.5980116253181219
96,100,0.3656159706980111,0.3750555219056626,4,16,ReLU(),0.05,0.01,0.9076929836119499,0.6028105866310995
117,100,0.3387077666484546,0.4452293825025704,4,32,LeakyReLU(negative_slope=0.01),0.1,0.01,0.8855982719346608,0.6289653205471274
126,100,0.3544534595693408,0.4855428014447585,4,64,LeakyReLU(negative_slope=0.01),0.05,0.01,0.8969282061796956,0.6383020909009036
105,100,0.40324294081677,0.4214915150698022,4,16,LeakyReLU(negative_slope=0.01),0.1,0.01,0.9423264355258997,0.6392384931530821
108,100,0.400224198205971,0.410014203134103,4,32,ReLU(),0.05,0.01,0.916300092708314,0.6413401232824014
129,100,0.3972535353021718,0.4919806067001615,4,64,LeakyReLU(negative_slope=0.01),0.1,0.01,0.9356534404628332,0.6766844338291336
120,100,0.3734020314784528,0.5614526784977613,4,64,ReLU(),0.05,0.01,0.9209110508536827,0.7504547874844572
132,100,0.3992969553744318,0.5019162960965137,4,128,ReLU(),0.05,0.01,0.9508796037707334,0.7554007521330703
48,100,0.4893197334234234,0.5210226566161608,3,16,ReLU(),0.05,0.01,1.0511119312130845,0.8114581278097053
138,100,0.4344884837972219,0.5374147905120441,4,128,LeakyReLU(negative_slope=0.01),0.05,0.01,0.9741168354873476,0.8201726626823159
51,100,0.607465539238606,0.543562195429102,3,16,ReLU(),0.1,0.01,1.0920981742533546,0.8371489647882108
69,100,0.5414787207669819,0.5682391902771318,3,32,LeakyReLU(negative_slope=0.01),0.1,0.01,1.0358143828409287,0.8428628527728123
54,100,0.6071865243435987,0.5879614192753848,3,16,LeakyReLU(negative_slope=0.01),0.05,0.01,1.0776785907233306,0.8490842744385023
57,100,0.4901387975423741,0.5482299566975223,3,16,LeakyReLU(negative_slope=0.01),0.1,0.01,1.034389117882363,0.858334698958614
135,100,0.4227418300660562,0.6850074233694429,4,128,ReLU(),0.1,0.01,0.9777768734904803,0.89935032712829
123,100,0.5129490954327837,0.6127031537120461,4,64,ReLU(),0.1,0.01,1.032029036577554,0.9427530107312273
81,100,0.529692538213541,1.0050956166619274,3,64,LeakyReLU(negative_slope=0.01),0.1,0.01,1.0101217190915102,0.9647361458375537
141,100,0.4100411297012071,0.6946365231677136,4,128,LeakyReLU(negative_slope=0.01),0.1,0.01,0.9452454841740652,0.9823423895756314
60,100,0.4941338568246461,0.6963232425811534,3,32,ReLU(),0.05,0.01,1.0229540382344795,1.0269533707045277
66,100,0.6144749149697014,1.0241214864287331,3,32,LeakyReLU(negative_slope=0.01),0.05,0.01,1.1193007308062968,1.0594284532527616
78,100,0.5027297114181921,1.0821194465886608,3,64,LeakyReLU(negative_slope=0.01),0.05,0.01,1.0218760520959966,1.074428800685084
75,100,0.5220495125793735,0.8403537806038431,3,64,ReLU(),0.1,0.01,1.0254662227408857,1.082525850525124
63,100,0.6817742184567002,1.135263576723517,3,32,ReLU(),0.1,0.01,1.1520222150988195,1.2106531283088435
9,100,1.1877417148846166,1.1555472182663158,2,16,LeakyReLU(negative_slope=0.01),0.1,0.01,1.587803568806138,1.311917199918814
0,100,0.9001516062746256,1.064504449370525,2,16,ReLU(),0.05,0.01,1.4359325770797735,1.341478146679619
6,100,1.1545852574923277,1.5144523694560064,2,16,LeakyReLU(negative_slope=0.01),0.05,0.01,1.6497614421008049,1.4039190634618333
